Solea heinii			X																							X					X																																																																																																		X																																																									X																																																																				X										X	X								Indian Ocean.
Solea ovata			X												X									X		X																																													X																																																								X		X	X																																																								X					X																																					X		X																				X														X	X				X			X	Indo-Pacific:  including the northern China Sea, Gulf of Thailand, the Philippines and southward to Indonesia, but apparently not to New Guinea and Australia; westward to Pakistan.
Solea senegalensis	X		X	X								X							X									X		X	X	X				X			X																																																																	X																	X																																									X								X																								X													X										X																				X	X															X				X	X		X						X							Eastern Atlantic:  Mainly Central Atlantic (from France to Angola).  Western Mediterranean:  Herculean migrant (entered the Mediterranean via Gibraltar) (Ref. 43448).
Solea solea	X		X	X												X			X		X							X		X	X	X			X	X																X				X								X																			X				X	X							X								X	X							X		X	X																			X	X		X													X				X			X			X			X								X					X								X										X	X						X	X						X	X				X					X									X	X										X	X		X	X												X				X	X								X							Eastern Atlantic:  southward from Trondheim Fjord (including North Sea and western Baltic) and Mediterranean Sea (including Sea of Marmara, Bosporus and southwestern Black Sea) (Ref. 4710). Elsewhere, southward to Senegal (Ref. 4710), including Cape Verde (Ref. 5304).
Solea stanalandi			X																												X																		X																																																																																																			X																																					X												X									X																																							X																				X								Western Indian Ocean:  Persian Gulf, Saudi Arabia, Half Moon Bay (near Dhahran).
Solea turbynei	X													X											X																																																																																																																																																		X																																													X													X																																				X								Western Indian Ocean:  South and East Africa, from about Cape Town, South Africa to Tanzania.
Soleichthys dori	X		X											X																	X																																																																			X																																					X																																																																																																																																		X								Red Sea: Gulf of Aqaba and Dahlak Archipelago (Ref. 79000).
Soleichthys heterorhinos			X			X				X					X		X	X				X		X		X											X	X								X														X																																										X																X											X	X								X																						X					X											X											X		X		X											X		X																								X			X		X																	X														X	X		X		X		X	X	Eastern Indian Ocean and Western Pacific:  India to Samoa, north to southern Japan, south to New South Wales, Australia.
Soleichthys maculosus						X				X																																				X																																																																																																																																																																																																																																		X	Western Pacific:  Australia.
Soleichthys microcephalus						X				X																																				X																																																																																																																																																																																																																																	X		Southwest Pacific:  warm-temperate New South Wales, Australia.
Soleichthys oculofasciatus						X				X																																				X																																																																																																																																																																																																																																		X	Western Pacific:  Australia.
Soleichthys serpenpellis						X				X																																				X																																																																																																																																																																																																																										X								X	Eastern Indian Ocean to Western Pacific:  Australia.
Soleichthys siammakuti			X																					X																																																																																																																																																																																																														X																																										X	Western Pacific:  Gulf of Thailand.
Soleichthys tubiferus	X													X																																																																																																																																																					X																																			X																																																																			X								Western Indian Ocean:  Reunion and Mauritius.
Syacium guineense	X											X							X						X					X									X															X							X			X														X	X			X															X										X		X			X								X	X																														X											X											X						X																										X		X			X																						X																					X				X			X													Eastern Atlantic:  off Mauritania and Western Sahara to Walvis Bay, Namibia (Ref. 4417, 11228).
Syacium gunteri					X		X				X		X							X			X																	X		X		X							X																X									X									X	X					X	X													X											X	X					X	X														X																								X			X					X																											X																								X	X	X		X											X				X								X		X		X	X									X	X											Western Atlantic:  northeastern Florida (USA), Gulf of  Mexico, and the Antilles to Guyana.
Syacium latifrons					X		X						X										X																																																					X					X													X		X												X											X							X																																						X														X										X		X																																																																													X			X			Eastern Pacific:  Gulf of California to Peru.
Syacium longidorsale							X																X																																																					X																		X																																																																																																																																																																																X			Eastern Pacific:  Ecuador.  Also reported from Colombia (Ref. 10878).
Syacium maculiferum					X		X						X										X																																																																																					X																																																																																X																																																																															X			X			Eastern Central Pacific:  Panama (Ref. 9330) and Galápagos (Ref. 93094).
Syacium micrurum					X		X				X		X							X			X																					X									X				X					X														X									X	X																			X																	X															X																																									X																		X																									X			X											X												X		X										X		X	X											Western Atlantic:  Canada (Ref. 5951) to Florida, USA to São Paulo, Brazil.  Records of <i>Syacium micrurum</i> from the eastern Atlantic refer to <i>Syacium guineensis</i>.
Syacium ovale					X		X						X										X																																																					X					X													X		X																							X							X																																						X														X										X		X																																																																													X			X			Eastern Pacific:  Mexico to Peru.
Syacium papillosum	X				X		X				X		X							X			X				X																	X	X								X				X																			X									X	X																			X																	X																																										X														X																																														X											X												X		X										X	X	X	X											Western Atlantic:  North Carolina, USA and northern Gulf of Mexico to Brazil.  Eastern Atlantic:  Ascension Island (Ref. 26340).
Symphurus arawak					X		X				X		X							X			X																	X		X		X				X			X		X														X									X									X	X					X	X																								X	X						X			X											X																								X								X																											X																								X	X	X													X				X								X				X	X										X											Western Atlantic:  Florida, USA and Bahamas to Curaçao and Colombia.
Symphurus atramentatus					X		X						X										X																																																					X					X													X		X												X											X							X																																						X														X										X		X																																																																													X			X			Eastern Pacific:  Gulf of California and Bahía Magdalena, Mexico to Peru, including the Galapagos Islands (Ref. 9294).
Symphurus atricauda					X								X							X																																																																																																																																																X																																																																																			X																				X	X					Eastern Central Pacific:  California, USA to the Gulf of California.
Symphurus bathyspilus			X																					X																																																																																																										X																																																													X																																																																																	X	Western Central Pacific:  Philippines and southern Indonesia.
Symphurus billykrietei					X															X																																																																																																																																																																																																																																			X												X														Northwest Atlantic:  off southern Nova Scotia and southward along the continental shelf of US to about Cape Hatteras, North Carolina.
Symphurus brachycephalus			X																					X																																																																																																																																																																																																																																		X																						X	Western Pacific: Vietnam.
Symphurus callopterus					X		X						X										X																																																					X					X													X		X																							X							X																																						X														X										X		X																																																																													X			X			Eastern Pacific:  Mexico to Peru.
Symphurus caribbeanus					X		X				X		X										X																																																					X									X																																						X																																																			X				X										X								X																																																																		X											Western Atlantic:  widespread in the Caribbean Sea, along coastal margins of Central and northern Sout America and off islands fringing the Caribbean; including St. Martin and Cuba.
Symphurus chabanaudi					X		X						X										X																																																					X					X													X		X																							X							X																																						X														X										X		X																																																																													X			X			Eastern Pacific:  Gulf of California to Peru.
Symphurus civitatum					X		X				X		X							X			X																																X																																																																																																													X																																																																																		X	X												X		X	X											Northwestern Atlantic:  North Carolina (Cape Hatteras) to the Yucatan Peninsula, Mexico.
Symphurus diabolicus							X																X																																																																							X														X																																																																																																																																																																		X			Southeast Pacific:  known from a single specimen taken west of 0°46'S, 89°42'W.  Reported occurrences from the Ecuador-Galapagos islands (Ref. 5515, 46892, 38732).
Symphurus diomedeanus					X		X				X		X							X			X																	X		X		X							X		X				X					X					X									X					X				X	X					X	X													X											X	X		X			X	X			X											X																								X			X					X									X										X								X																								X	X	X		X											X				X								X		X		X	X							X		X	X											Western Atlantic:  Canada (Ref. 5951) to north of Cape Hatteras, North Carolina through the Gulf of Mexico and the Caribbean Sea, inner continental shelf of South America to about Isla de Flores, Uruguay.
Symphurus elongatus					X		X						X										X																																																					X					X													X		X																							X							X																																						X														X										X																																																																															X			X			Eastern Central Pacific:  Mexico to Ecuador.
Symphurus fasciolaris					X								X																																																																				X															X																							X							X																																						X														X										X																																																																															X						Eastern Central Pacific:  Bahía Magdalena, Mexico and the Gulf of California to Panama.
Symphurus gilesii			X																					X																																																																																																										X																																																													X																																																																																	X	Western Central Pacific.  Also known from the Bay of Bengal (Ref. 4900).
Symphurus ginsburgi							X																X																																		X																																																																																																																																																																																													X															X												Southwest Atlantic:  southeastern Brazil to Maldonado, Uruguay.
Symphurus gorgonae					X		X						X										X																																																					X					X													X		X																							X							X																																						X														X										X																																																																															X			X			Eastern Pacific:  Mexico to Ecuador.
Symphurus holothuriae						X				X																																				X																																																																																																																																																																																																																										X									Eastern Indian Ocean: NW Australia.
Symphurus hondoensis			X												X																																																																																																																											X																																																																X																																																																			X				Northwest Pacific:  probably endemic to deep waters off the southern Japanese Archipelago.
Symphurus hongae			X												X																																																																																																																																																																																																																					X																																									X				Northwestern Pacific: Taiwan.
Symphurus insularis	X			X																										X		X															X																X	X																																																																																												X																																																			X																																																		X	X															Eastern Atlantic:  Azores, Madeira, Canary, Cape Verde Islands and Senegal.
Symphurus jenynsi							X																X																				X														X																																																																																																																																																																																													X															X												Southwest Atlantic:  southeastern Brazil to about El Rincon, central Argentina.
Symphurus kyaropterygium							X																X																																		X																																																																																																																																																																																																												X												Southwest Atlantic:  off Brazil from Baia da Ilha Grande to Rio Grande do Sul.
Symphurus leeorum					X								X																																																																				X															X																							X							X																																						X														X										X																																																																															X						Eastern Central Pacific:  Gulf of California to Panama.
Symphurus leptosomus			X																					X																																																																																																																																																																							X																																																																																	X	Western Pacific: the Philippines.
Symphurus leucochilus			X												X																																																																																																																											X																																																																																										X																																									X				Northwest Pacific:  Japan and Taiwan.
Symphurus ligulatus	X			X								X																X		X									X															X							X																	X	X			X															X										X		X			X								X	X															X															X											X																	X																												X			X							X															X																									X	X		X						X							Eastern Atlantic:  Cap Juby, Mauritania to Angola.
Symphurus longirostris			X												X																																																																																																																											X																																																																																																																																			X				Northwest Pacific: Japan.
Symphurus lubbocki	X																										X																		X																																																																																																																																																																																																																							X													Southeast Atlantic:  Ascension Island.
Symphurus luzonensis			X																					X																																																																																																																																																																							X																																																																																	X	Western Central Pacific:  Philippines.
Symphurus maculopinnis						X																X																																																																																																																																																																																																																			X																																							X	Western Pacific:  Tonga Arc, Volcano-19. Tunnicliffe <i>et al.</i>, 2010 (Ref. 88005) indicated that this species was also observed at shallower depths (between 195-381 m) at a second, nearby site (Volcano-1). However, re-examination of photographs indicates that the individuals upon which these observations were based can not be positively identified. Thus, reported occurrences of <i>S. maculopinnis</i> both at Volcano-1 and at these shallower depths is tenuous (Ref. 87974).
Symphurus maldivensis			X																							X																																																																																																																																				X																																																																																																											X								Western Indian Ocean:  known only from the holotype taken from the Maldives.
Symphurus marginatus					X		X				X		X							X			X																									X									X																			X																													X																					X																																																																						X																												X											X												X		X										X		X	X											Western Atlantic:  off New Jersey southward along eastern United States, Gulf of Mexico, off the Bahamas, the Greater Antilles at Puerto Rico, throughout southern Caribbean Sea from Honduras to Venezuela, and from Trinidad and Tobago to southeastern Brazil.
Symphurus marmoratus			X			X																X		X		X																																																																																																		X																																		X																																	X																																																																										X		X					X	Indo-Pacific:  collected from Jolo Island, Philippines (Ref. 311), near Maldives,  Saya de Malha Bank and Hawaiian Islands (Ref. 26165).
Symphurus megasomus			X												X																																																																																																																																																																																																																					X																																									X				Northwest Pacific:  Taiwan.
Symphurus melanurus					X		X						X										X																																																					X					X													X		X																							X							X																																						X														X										X		X																																																																													X			X			Eastern Pacific:  Mexico to Ecuador.  The Seychelles record in Smith & Smith 1963 (Ref. 1623) was based on the type specimen of <i>Symphurus seychellensis</i> which was previously recorded as coming from Seychelles; the correct type locality for the species is northern Peru (Ref. 26282).
Symphurus melasmatotheca					X		X						X										X																																																										X															X																							X							X																																						X														X										X		X																																																																													X			X			Eastern Pacific:  Mexico to Panama.  Recorded from Peru (Ref. 10739).
Symphurus microlepis					X								X																																																																																																																																																																															X																																																																															X						Eastern Central Pacific:  known from a single specimen from the Gulf of Panama.
Symphurus microrhynchus			X																					X																																																																																																										X																																																																																																																																														X	Western Pacific Ocean: Indonesia.
Symphurus minor					X		X													X			X																																							X																																											X																																																																																																																																														X												X			X											Western Atlantic:  North Carolina to Palm Beach in Florida, USA; also Gulf Coast of Florida.  Also recorded from Nova Scotia, Canada (Ref. 26268) and French Guiana (Ref. 27233).
Symphurus monostigmus	X																								X																																																																																																																																																																																															X																																																	X								Western Indian Ocean:  South Africa.
Symphurus nebulosus					X															X																																																																																																																																																																																																																																			X												X			X											Western Atlantic:  New York to Florida in USA.
Symphurus nigrescens	X		X	X								X							X								X	X		X	X	X				X			X						X																																																											X										X																						X																										X																																																							X		X								X											X																			X	X		X						X							Eastern Atlantic:  Mediterranean, Azores, North Spain to Angola, St. Helena and Ascension Is.
Symphurus normani	X											X													X														X																																							X	X																																																																																														X																																																																																				X			X													Eastern Atlantic:  Gulf of Guinea (Ref. 2683) to Angola.  Reported from northern Namibia (Ref. 27121).
Symphurus novemfasciatus			X												X																																																																																																																																																																																																																					X																																									X				Northwest Pacific:  Taiwan.
Symphurus ocellaris					X								X																																																																																																																																																																															X																																																																															X						Eastern Central Pacific:  Panama.
Symphurus ocellatus	X													X											X																																																																																																																																																		X																											X																		X																																																	X								Western Indian Ocean:  known only from Mozambique to Durban, South Africa.
Symphurus oculellus							X																X																																		X																																																X																	X																																																																																																						X																																					X	X											Western  Atlantic:  Guyana to NE Brazil.
Symphurus oligomerus					X		X						X										X																																																					X					X													X		X																							X							X																																						X														X										X		X																																																																													X			X			Eastern Pacific:  Gulf of California to Peru.
Symphurus ommaspilus					X						X		X																																			X					X																																X	X																																																																																																														X																																																								X										X											Western Central Atlantic:  Widespread through insular regions of the Caribbean Sea, including Glover's Reef, St. Eustatius, St. Barthelemy, and the French West Indies.  Rarely captured along the continental margins of the Caribbean.
Symphurus orientalis			X			X									X		X							X																																															X																															X																									X			X								X								X																																																																																		X																																									X			X	Northwest Pacific:  Suruga Bay, Japan to the Yellow and East China seas. Western Central Pacific.
Symphurus parvus					X		X				X		X							X			X																														X																							X																																																		X																																						X														X										X																																															X												X		X										X			X											Western Atlantic:  North Carolina and northern Gulf of Mexico in USA to Yucatan.
Symphurus pelicanus					X		X				X		X							X			X																																																					X																																																		X																																						X																								X																																															X												X															X											Western Atlantic: Straits of Florida in the eastern Gulf of Mexico but most common west and south of Mississippi Delta on the inner continental shelf to Guyana.
Symphurus piger					X		X				X		X							X			X																	X								X					X																							X									X																				X																	X				X											X																											X																								X								X																								X				X											X												X				X											X											Western Atlantic:  southern Florida, USA to the Lesser Antilles.
Symphurus plagiusa					X		X				X		X							X			X																	X		X		X				X			X		X				X										X														X				X	X					X	X																								X	X						X														X																								X			X					X																											X																								X	X	X													X				X								X				X	X							X		X	X											Western Atlantic:  New York south through the Florida Keys (USA), through the northern Gulf of Mexico to the Campeche Peninsula, Mexico, the Bahamas, and Cuba.
Symphurus plagusia					X		X				X		X										X																			X		X							X		X				X																			X					X				X	X					X	X													X											X						X	X			X											X																																									X										X								X																								X	X	X		X											X											X			X												X	X											Western Atlantic:  Puerto Rico, Cuba and Hispaniola but unknown from the Bahamas.  Continental margin of Central America (Belize, Nicaragua, Costa Rica and Panama) to South America (Colombia, Guyana, suriname, Tobago and Brazil (Rio de Janeiro).
Symphurus polylepis						X				X																																																																																																																																																																																			X																																																																																			X	Western Pacific: Papua New Guinea.
Symphurus prolatinaris					X		X						X										X																																																					X					X													X		X																							X							X																																						X														X										X		X																																																																													X			X			Eastern Central Pacific:  Mexico to Peru.
Symphurus pusillus					X															X																																																																																																																																																																																																																																			X												X			X											Northwestern Atlantic:  east coast of the United States, from off Long I., New York, south to Florida and to the eastern Gulf of Mexico, westward to deSoto Submarine Canyon; common on the continental shelf between Cape Hatteras and southern Florida.
Symphurus regani			X																					X																																																																																																										X																																																													X																																																																																	X	Western Central Pacific:  Flores Sea (Indonesia).  Also collected from the Philippines (Ref. 9494).
Symphurus reticulatus	X																										X			X																																																																																																																														X																																																															X																																						X			X													Eastern Atlantic:  Madeira and St. Helena Island.
Symphurus rhytisma					X		X				X		X										X																									X					X				X																													X																																																																																																																																																																															X	X											Western Central Atlantic:  off Grand Bahama Island, Bahamas and from Curaçao (Ref. 5521); also from Belize and Brazil (Ref. 26268).
Symphurus robustus			X												X																																																																																																																											X																																																																																																																																			X				Norhwest Pacific: Japan.
Symphurus septemstriatus			X																					X		X												X																																																																																																																																																									X																											X																																														X								X	Indo-West Pacific:  Sri Lanka.  Also reported from the Philippines (Ref. 9494).
Symphurus stigmosus					X						X		X							X																												X																																											X																																																																									X														X																																																																					X															X											Western Central Atlantic:  Gulf Stream and Straits of Florida and Caribbean Sea.
Symphurus strictus	X		X			X								X	X							X		X		X																																																																																																		X														X																				X													X																				X																																					X																																					X		X		X			X	Indo-Pacific:  off Delagoa Bay (Mozambique), Maldives (Ref. 26165), Japan, Philippines (Ref. 9494), and Hawaii.
Symphurus tessellatus					X		X				X		X										X																				X										X				X																			X									X							X													X																	X	X			X											X																																									X										X								X																												X											X											X			X												X	X											Western Atlantic:  Caribbean (Cuba, Hispaniola and Puerto Rico), south to Uruguay.
Symphurus thermophilus			X			X				X					X																																																																																																																											X					X																																		X																																																																																												X		X		Pacific: an endemic species in the western Pacific Ocean collected at several active hydrothermal vent sites with a disjunct distribution over a wide geographic range from Kaikata Seamount (26°42.30'N, 141°04.70'E; near Bonin Island, off southeastern Japan) to the Rumble 3 Submarine Volcano (35°44'S, 178°72-79'W) on the Kermadec Ridge, northern New Zealand (Ref. 78522).
Symphurus trewavasae							X																X																				X														X																																																																																																																																																																																													X															X												Southwest Atlantic:  southeastern Brazil to central Argentina.
Symphurus trifasciatus			X																							X																																																																																																							X																																																																																									X																																														X	X								Indian Ocean:  Gulf of Oman, Bay of Bengal off Madras Coast, off west coast of India, Gulf of Manaár, and off Ceylon (Sri Lanka).
Symphurus undatus			X			X																X		X																																																																																																				X																																																																			X																																																																												X					X	Western Central Pacific:  Philippines.  Eastern Central Pacific:  off Hawaii.
Symphurus undecimplerus					X		X						X										X																																																					X					X													X		X																							X							X																																						X														X										X		X																																																																													X			X			Eastern Pacific:  Mexico to Peru.
Symphurus urospilus					X						X		X							X																																																																	X																																																																															X																																																																																			X															X											Western Atlantic:  North Carolina, USA through the Gulf of Mexico to the Campeche Bank region off the Yucatan Peninsula, Mexico.  Single record from Cuba.
Symphurus vanmelleae	X											X																		X									X																																																																																																																																																																								X																																																		X			X													Eastern Central Atlantic:  off West Africa, mainly extending from 2°N to 12°S.  A record from 14°49'N, 17°43'W (IOS 10873), represents a northwesterly range extension.
Symphurus variegatus	X																								X																																																																																																																																																																																															X																																												X													Southeast Atlantic:  known only from off East London, South Africa.
Symphurus varius							X																X																																																			X																																		X																																																																																																																																																															X			X			Eastern Pacific:  Cocos and the Galapagos islands.
Symphurus williamsi					X		X						X										X																																																					X					X													X		X																							X							X																																						X														X										X		X																																																																													X			X			Eastern Pacific:  Gulf of California to Peru.
Symphurus woodmasoni			X																					X														X																																																																																																																																																									X																																																																									X								X	Eastern Indian Ocean:  Andaman Islands.  Reported from the Philippines (Ref. 11790).
Synaptura albomaculata			X																					X		X																								X																																																																															X																																											X																																																																																												X									Indian Ocean:  east coast of India, Bangladesh and Myanmar.
Synaptura cadenati	X											X																		X																																																X																															X											X	X																																									X																	X																												X																																																		X																Eastern Central Atlantic:  Dakar, Senegal to the Gulf of Guinea and Pointe-Noire, Congo (Ref. 5304).  Reported from Mauritania (Ref. 55783).
Synaptura commersonnii	X		X											X										X		X																																																																																																							X	X																																	X																							X																							X						X			X												X																																		X	X							X	Indo-West Pacific:  Red Sea to the Persian Gulf, west coast of India and Sri Lanka; also off Mauritius and Seychelles.  Also east coast of India to the Malay Archipelago.
Synaptura marginata	X		X											X	X									X	X					X																																																																																																				X								X																																	X																				X											X											X			X												X																																X					X				X			X	Indo-West Pacific:  Mozambique Channel to Natal, South Africa.  Also known from Japan (Ref. 3200) and the Philippines (Ref. 9494).
Synaptura megalepidoura			X																					X																																																																																																																																																																							X																																																																																	X	Western Central Pacific:  collected off the east coast of Leyte, Philippines.
Synapturichthys kleinii	X		X	X								X							X						X			X			X	X				X																																										X																										X										X																						X																							X																																																									X	X																					X																			X			X					X	X							Eastern Atlantic and Western Indian Ocean:  Mediterranean south to Durban, South Africa.
Synclidopus macleayanus						X				X																																				X																																																																																																												X																																																																																																																					X	X	Western Pacific:  eastern Australia.
Taeniopsetta ocellata	X		X			X				X				X	X		X							X									X																																																																																														X											X																																						X													X		X																																						X																																				X				X			X	Indo-West Pacific:  including Japan.
Taeniopsetta radula						X																X																																																																																																						X																																																																																																																																															X						Eastern Central Pacific:  Hawaiian Islands.
Tanakius kitaharae			X												X																																																								X																																																																			X							X	X																																																																																		X																																									X				Northwest Pacific:  Southern Hokkaido, Japan to the Yellow Sea, Gulf of Bo Hai, East China Sea and Taiwan.
Taratretis derwentensis						X				X																																				X																																																																																																																																																																																																																										X							X		Southwest Pacific:  from Bermagui, New South Wales to western side of Spencer Gulf, South Australia and Tasmania.
Tarphops elegans			X												X																																																																																																																											X								X																																																																																																																											X				Northwest Pacific:  Japan (Ref. 559) and South Korea (Ref. 77001).
Tarphops oligolepis			X												X									X																																															X																																																								X											X								X																																																																																		X																																									X				Northwest Pacific:  Japan to Taiwan.
